"total_pop","county_fips_code","commuters_by_public_transportation","commuters_by_car_truck_van","commuters_by_subway_or_elevated","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","two_or_more_races_pop","not_hispanic_pop","median_income","median_age","families_with_young_children","high_school_diploma","bachelors_degree","graduate_professional_degree","bachelors_degree_or_higher_25_64","confirmed_cases","deaths","total_population","area_sqmi","population_density_per_sqmi","percent_below_poverty","percent_unemployed_CDC","eightieth_percentile_income","twentieth_percentile_income","income_ratio","stay_at_home_announced","stay_at_home_effective","date_stay_at_home_announced","percent_fair_or_poor_health","percent_smokers","percent_adults_with_obesity","percent_physically_inactive","percent_with_access_to_exercise_opportunities","percent_excessive_drinking","percent_adults_with_diabetes","percent_vaccinated","date","lat","lon"
5532,48195,9,2183,0,2950,4,0,2569,6,0,3,2963,40678,34.9,451,718,426,117,399,673,17,5552,919.809499999994,6.03603246106942,20,2.5,83438,21161,3.9430083644,"yes","yes","2020-03-31",24.092815647,16.335276137,25,21.9,87.689292713,17.248323624,6.4,29,2020-04-07,36.2774355569722,-101.354581302719
1084,48433,0,418,0,787,38,0,246,0,0,13,838,46786,51.9,75,273,71,28,74,134,4,1233,916.312210864012,1.34561122877253,18.9,6.9,101500,18250,5.5616438356,"yes","yes","2020-03-31",17.35799808,13.468019502,26.9,23,53.087248322,16.544903889,7.5,12,2020-07-18,33.1791948803327,-100.253384244473
2932,48079,7,1130,0,1104,77,0,1672,6,0,73,1260,37500,33.5,272,468,125,67,138,216,12,2955,775.081938284558,3.81250014229479,19.6,7,91417,14632,6.2477446692,"yes","yes","2020-03-31",29.513779769,17.98533803,25.2,22.2,47.521586185,15.391516973,16.7,21,2020-04-23,33.6041817114206,-102.828514992224
3836,48105,0,1673,0,1264,35,0,2537,0,0,0,1299,52310,35.5,406,733,166,53,149,472,13,3836,2807.32257046663,1.36642651626684,22.7,2.8,108737,21040,5.168108365,"yes","yes","2020-03-31",21.746863984,12.931940191,27.1,21.7,18.311374025,17.339386224,5.1,23,2020-06-05,30.7230944502138,-101.412057816521
8145,48307,2,3281,0,5067,161,0,2571,1,202,143,5574,42367,43.5,589,1597,671,261,556,467,12,8242,1065.60097581508,7.73460252670629,18.4,4.2,82214,18534,4.4358476314,"yes","yes","2020-03-31",20.154204216,14.433364696,35,31.7,53.990100205,17.00148794,13.1,23,2020-04-09,31.1988824522978,-99.3475443016915
3067,48421,7,1458,0,1712,8,0,1327,7,0,13,1740,54961,39.8,230,410,340,105,357,118,11,3069,923.035205375278,3.32490026613041,13.6,1,105000,27500,3.8181818182,"yes","yes","2020-03-31",18.584558011,13.42590776,27.7,27.2,37.607119314,19.101788905,4.2,36,2020-04-16,36.2777261836815,-101.89344515033
289,48269,0,158,0,212,0,0,77,0,0,0,212,56964,32.7,23,56,30,11,38,11,0,274,910.87207576913,0.300810626748699,3.3,4.1,112900,35786,3.154865031,"yes","yes","2020-03-31",17.414647444,14.322324636,22.7,20.7,0.6993006993,18.925467872,11.2,NA,2020-10-13,33.6165544039901,-100.255849436754
1591,48045,0,602,0,964,27,0,513,0,0,71,1078,42500,46.4,84,268,197,52,168,114,3,1672,900.000320286772,1.85777711664285,14.5,5.9,92409,20466,4.5152447962,"yes","yes","2020-03-31",19.311017965,14.333748709,26,28.5,71.227855834,16.689721391,10.2,29,2020-05-02,34.5302785018795,-101.208558878674
12755,48445,12,4228,0,5203,592,0,6858,31,0,71,5897,42441,34.6,1225,1904,696,349,814,1475,46,12724,888.838938111154,14.3153044431643,13.7,7,92309,23496,3.92871127,"no","no","2020-03-31",24.199254143,15.778872927,34.4,26.5,74.824124575,17.97325046,6,41,2020-03-25,33.1738063838315,-102.33517054199
1498,48101,2,553,0,803,153,0,490,5,32,15,1008,33534,47.6,146,264,114,63,110,176,7,1560,900.563123025378,1.73224947825899,25,11.6,64359,15222,4.2280252266,"yes","yes","2020-03-31",21.870811919,15.759202139,21.6,22.8,84.186046512,15.032039039,15.3,19,2020-04-27,34.0776492307986,-100.278800599552
